Saved checkpoint_20250717_004329.pt (29.3 min) 29.297774442036946
(jessi) bgn1005:~ $ python nhr_new998_noseed_newpathsplit.py 
Whole model          : 32,510
{'runid': '20250717_004403', 'num_nbrs': 100, 'num_nbrs_egnn': 11, 'learning_rate': [0.005], 'dataset': ('1000inputs/*.npz', 20, 960), 'epochs': 200, 'dim': 12, 'depth': 2, 'basis': 8, 'hidden_dim': 4, 'num_heads': 20, 'dropout': [0.03, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss(), 'params': 32510}
Epoch   0 | train L1 = 1.1418
              |  val L1 = 0.6982
Epoch  59 | train L1 = 0.4854
              |  val L1 = 0.6901
Epoch  60 | train L1 = 0.4738
              |  val L1 = 0.6950
Epoch  61 | train L1 = 0.4696
              |  val L1 = 0.6983
Epoch  62 | train L1 = 0.4625
              |  val L1 = 0.7004
Epoch  63 | train L1 = 0.4712
              |  val L1 = 0.6996
Epoch  64 | train L1 = 0.4678
              |  val L1 = 0.6979
Epoch  65 | train L1 = 0.4597
              |  val L1 = 0.6966
Epoch  66 | train L1 = 0.4517
              |  val L1 = 0.7086
Epoch  67 | train L1 = 0.4516
              |  val L1 = 0.7123
Epoch  68 | train L1 = 0.4356
              |  val L1 = 0.6974
Epoch  69 | train L1 = 0.4477
              |  val L1 = 0.6879
Epoch  70 | train L1 = 0.4162
              |  val L1 = 0.7059
Epoch  71 | train L1 = 0.4065
              |  val L1 = 0.7039
Epoch  72 | train L1 = 0.3917
              |  val L1 = 0.6972
Epoch  73 | train L1 = 0.4051
              |  val L1 = 0.6957
Epoch  74 | train L1 = 0.4020
              |  val L1 = 0.6943
Epoch  75 | train L1 = 0.3636
              |  val L1 = 0.7051
Epoch  76 | train L1 = 0.3911
              |  val L1 = 0.7188
Epoch  77 | train L1 = 0.4099
              |  val L1 = 0.7042
Epoch  78 | train L1 = 0.3938
              |  val L1 = 0.7035
Epoch  79 | train L1 = 0.3899
              |  val L1 = 0.7118
Epoch  80 | train L1 = 0.4112
              |  val L1 = 0.6928
Epoch  81 | train L1 = 0.3865
              |  val L1 = 0.6980
Epoch  82 | train L1 = 0.3782
              |  val L1 = 0.6957
Epoch  83 | train L1 = 0.3577
              |  val L1 = 0.7019
Epoch  84 | train L1 = 0.3526
              |  val L1 = 0.6994
Epoch  85 | train L1 = 0.3503
              |  val L1 = 0.6913
Epoch  86 | train L1 = 0.3506
              |  val L1 = 0.7145
Epoch  87 | train L1 = 0.3502
              |  val L1 = 0.7262
Epoch  88 | train L1 = 0.3640
              |  val L1 = 0.7156
Epoch  89 | train L1 = 0.3623
              |  val L1 = 0.7021
Epoch  90 | train L1 = 0.3334
              |  val L1 = 0.6994
Epoch  91 | train L1 = 0.3320
              |  val L1 = 0.6940
Epoch  92 | train L1 = 0.3311
              |  val L1 = 0.7201
Epoch  93 | train L1 = 0.3304
              |  val L1 = 0.7148
Epoch  94 | train L1 = 0.3200
              |  val L1 = 0.7029
Epoch  95 | train L1 = 0.3170
              |  val L1 = 0.7012
Epoch  96 | train L1 = 0.3182
              |  val L1 = 0.6979
Epoch  97 | train L1 = 0.2992
              |  val L1 = 0.7028
Epoch  98 | train L1 = 0.3144
              |  val L1 = 0.7098
Epoch  99 | train L1 = 0.3119
              |  val L1 = 0.7066
Epoch 100 | train L1 = 0.3089
              |  val L1 = 0.7046
Epoch 101 | train L1 = 0.3056
              |  val L1 = 0.7116
Epoch 102 | train L1 = 0.3009
              |  val L1 = 0.7135
Epoch 103 | train L1 = 0.2955
              |  val L1 = 0.7059
Epoch 104 | train L1 = 0.2903
              |  val L1 = 0.6935
Epoch 105 | train L1 = 0.2911
              |  val L1 = 0.6924
Epoch 106 | train L1 = 0.2887
              |  val L1 = 0.7169
Epoch 107 | train L1 = 0.2906
              |  val L1 = 0.6944
Epoch 108 | train L1 = 0.2820
              |  val L1 = 0.6993
Epoch 109 | train L1 = 0.2826
              |  val L1 = 0.7159
Epoch 110 | train L1 = 0.2940
              |  val L1 = 0.6967
Epoch 111 | train L1 = 0.2835
              |  val L1 = 0.6953
Epoch 112 | train L1 = 0.2881
              |  val L1 = 0.7155
Epoch 113 | train L1 = 0.2766
              |  val L1 = 0.6976
Epoch 114 | train L1 = 0.2677
              |  val L1 = 0.7079
Epoch 115 | train L1 = 0.2659
              |  val L1 = 0.6898
Epoch 116 | train L1 = 0.2665
              |  val L1 = 0.7040
Epoch 117 | train L1 = 0.2728
              |  val L1 = 0.7165
Epoch 118 | train L1 = 0.2770
              |  val L1 = 0.6998
Epoch 119 | train L1 = 0.2710
              |  val L1 = 0.6965
Epoch 120 | train L1 = 0.2704
              |  val L1 = 0.7102
Epoch 121 | train L1 = 0.2687
              |  val L1 = 0.7058
Epoch 122 | train L1 = 0.2655
              |  val L1 = 0.7052
Epoch 123 | train L1 = 0.2564
              |  val L1 = 0.7193
Epoch 124 | train L1 = 0.2619
              |  val L1 = 0.6983
Epoch 125 | train L1 = 0.2554
              |  val L1 = 0.6994
Epoch 126 | train L1 = 0.2577
              |  val L1 = 0.7095
Epoch 127 | train L1 = 0.2545
              |  val L1 = 0.7093
Epoch 128 | train L1 = 0.2596
              |  val L1 = 0.6963
Epoch 129 | train L1 = 0.2367
              |  val L1 = 0.6948
Epoch 130 | train L1 = 0.2352
              |  val L1 = 0.6997
Epoch 131 | train L1 = 0.2478
              |  val L1 = 0.7053
Epoch 132 | train L1 = 0.2548
              |  val L1 = 0.7109
Epoch 133 | train L1 = 0.2430
              |  val L1 = 0.6912
Epoch 134 | train L1 = 0.2449
              |  val L1 = 0.7038
Epoch 135 | train L1 = 0.2427
              |  val L1 = 0.7078
Epoch 136 | train L1 = 0.2375
              |  val L1 = 0.7017
Epoch 137 | train L1 = 0.2367
              |  val L1 = 0.6990
Epoch 138 | train L1 = 0.2297
              |  val L1 = 0.7039
Epoch 139 | train L1 = 0.2354
              |  val L1 = 0.7004
Epoch 140 | train L1 = 0.2268
              |  val L1 = 0.7004
Epoch 141 | train L1 = 0.2371
              |  val L1 = 0.7051
Epoch 142 | train L1 = 0.2289
              |  val L1 = 0.7019
Epoch 143 | train L1 = 0.2294
              |  val L1 = 0.7052
Epoch 144 | train L1 = 0.2218
              |  val L1 = 0.6976
Epoch 145 | train L1 = 0.2255
              |  val L1 = 0.6989
Epoch 146 | train L1 = 0.2340
              |  val L1 = 0.6967
Epoch 147 | train L1 = 0.2281
              |  val L1 = 0.6976
Epoch 148 | train L1 = 0.2232
              |  val L1 = 0.6945
Epoch 149 | train L1 = 0.2294
              |  val L1 = 0.6993
Epoch 150 | train L1 = 0.2180
              |  val L1 = 0.7024
Epoch 151 | train L1 = 0.2213
              |  val L1 = 0.7045
Epoch 152 | train L1 = 0.2117
              |  val L1 = 0.7026
Epoch 153 | train L1 = 0.2111
              |  val L1 = 0.6977
Epoch 154 | train L1 = 0.2174
              |  val L1 = 0.7062
Epoch 155 | train L1 = 0.2169
              |  val L1 = 0.7023
Epoch 156 | train L1 = 0.2056
              |  val L1 = 0.6990
Epoch 157 | train L1 = 0.2134
              |  val L1 = 0.7024
Epoch 158 | train L1 = 0.2102
              |  val L1 = 0.7003
Epoch 159 | train L1 = 0.2108
              |  val L1 = 0.7093
Epoch 160 | train L1 = 0.2148
              |  val L1 = 0.6995
Epoch 161 | train L1 = 0.2143
              |  val L1 = 0.7083
Epoch 162 | train L1 = 0.2044
              |  val L1 = 0.6991
Epoch 163 | train L1 = 0.1994
              |  val L1 = 0.7104
Epoch 164 | train L1 = 0.2103
              |  val L1 = 0.7064
Epoch 165 | train L1 = 0.2072
              |  val L1 = 0.7001
Epoch 166 | train L1 = 0.2039
              |  val L1 = 0.7092
Epoch 167 | train L1 = 0.2043
              |  val L1 = 0.7029
Epoch 168 | train L1 = 0.2018
              |  val L1 = 0.7028
Epoch 169 | train L1 = 0.2076
              |  val L1 = 0.7010
Epoch 170 | train L1 = 0.2059
              |  val L1 = 0.6995
Epoch 171 | train L1 = 0.1986
              |  val L1 = 0.7020
Epoch 172 | train L1 = 0.2001
              |  val L1 = 0.7114
Epoch 173 | train L1 = 0.2005
              |  val L1 = 0.7043
Epoch 174 | train L1 = 0.1904
              |  val L1 = 0.6971
Epoch 175 | train L1 = 0.1998
              |  val L1 = 0.7029
Epoch 176 | train L1 = 0.1924
              |  val L1 = 0.7021
Epoch 177 | train L1 = 0.1864
              |  val L1 = 0.6960
Epoch 178 | train L1 = 0.1887
              |  val L1 = 0.7034
Epoch 179 | train L1 = 0.1879
              |  val L1 = 0.7030
Epoch 180 | train L1 = 0.1915
              |  val L1 = 0.7039
Epoch 181 | train L1 = 0.1908
              |  val L1 = 0.6935
Epoch 182 | train L1 = 0.1915
              |  val L1 = 0.6955
Epoch 183 | train L1 = 0.1864
              |  val L1 = 0.7029
Epoch 184 | train L1 = 0.1824
              |  val L1 = 0.6950
Epoch 185 | train L1 = 0.1854
              |  val L1 = 0.7066
Epoch 186 | train L1 = 0.1865
              |  val L1 = 0.7030
Epoch 187 | train L1 = 0.1845
              |  val L1 = 0.7023
Epoch 188 | train L1 = 0.1849
              |  val L1 = 0.7054
Epoch 189 | train L1 = 0.1858
              |  val L1 = 0.7021
Epoch 190 | train L1 = 0.1829
              |  val L1 = 0.6996
Epoch 191 | train L1 = 0.1850
              |  val L1 = 0.6991
Epoch 192 | train L1 = 0.1822
              |  val L1 = 0.6997
Epoch 193 | train L1 = 0.1770
              |  val L1 = 0.6937
Epoch 194 | train L1 = 0.1803
              |  val L1 = 0.6997
Epoch 195 | train L1 = 0.1867
              |  val L1 = 0.7036
Epoch 196 | train L1 = 0.1862
              |  val L1 = 0.7051
Epoch 197 | train L1 = 0.1824
salloc: Job 8667074 has exceeded its time limit and its allocation has been revoked.
    blogin2:~ $ client_loop: send disconnect: Broken pipe
jrhoernschemeyer@localhost:~> 
