
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1895
              |  val L1 = 1.0192
Epoch  19 | train L1 = 1.0640
              |  val L1 = 1.2798
Epoch  20 | train L1 = 1.1445
              |  val L1 = 1.2228
Saved checkpoint_20250713_220507.pt (0.6 min) 0.5829988439877828
(jessi) bgn1003:~ $ python3 nhr.py
skipping inputs_test/1dft.npz: Expected n_neighbors <= n_samples_fit, but n_neighbors = 500, n_samples_fit = 201, n_samples = 13
skipping inputs_test/1e4t.npz: Expected n_neighbors <= n_samples_fit, but n_neighbors = 500, n_samples_fit = 337, n_samples = 8
skipping inputs_test/1b9q.npz: Expected n_neighbors <= n_samples_fit, but n_neighbors = 500, n_samples_fit = 281, n_samples = 11
Epoch   0 | train L1 = 1.2060
              |  val L1 = 1.2127
Epoch   1 | train L1 = 1.0918
              |  val L1 = 1.0864
Epoch   2 | train L1 = 1.0653
              |  val L1 = 1.0937
Epoch   3 | train L1 = 1.0617
              |  val L1 = 1.0907
Epoch   4 | train L1 = 1.0539
              |  val L1 = 1.0942
Epoch   5 | train L1 = 1.0361
              |  val L1 = 1.0567
Epoch   6 | train L1 = 1.0191
              |  val L1 = 1.0524
Epoch   7 | train L1 = 1.1393
              |  val L1 = 1.2243
Epoch   8 | train L1 = 1.1504
              |  val L1 = 1.2204
Epoch   9 | train L1 = 1.1460
              |  val L1 = 1.2245
Epoch  10 | train L1 = 1.1521
              |  val L1 = 1.2142
Epoch  11 | train L1 = 1.1481
              |  val L1 = 1.2087
Epoch  12 | train L1 = 1.1470
              |  val L1 = 1.2112
Epoch  13 | train L1 = 1.1441
              |  val L1 = 1.2080
Epoch  14 | train L1 = 1.1463
              |  val L1 = 1.2081
Epoch  15 | train L1 = 1.1423
              |  val L1 = 1.2069
Epoch  16 | train L1 = 1.1368
              |  val L1 = 1.1996
Epoch  17 | train L1 = 1.1405
              |  val L1 = 1.2011
Epoch  18 | train L1 = 1.1331
              |  val L1 = 1.1955
Epoch  19 | train L1 = 1.1335
              |  val L1 = 1.1904
Epoch  20 | train L1 = 1.1369
              |  val L1 = 1.1933
Saved checkpoint_20250713_220716.pt (1.5 min) 1.514431897799174
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1758
              |  val L1 = 1.2281
Epoch   1 | train L1 = 1.1481
              |  val L1 = 1.2185
Epoch   2 | train L1 = 1.1390
              |  val L1 = 1.1734
Epoch   3 | train L1 = 1.0751
              |  val L1 = 1.0871
Epoch   4 | train L1 = 1.0442
              |  val L1 = 1.0869
Epoch   5 | train L1 = 1.1079
              |  val L1 = 1.2154
Epoch   6 | train L1 = 1.1439
              |  val L1 = 1.2178
Epoch   7 | train L1 = 1.1457
              |  val L1 = 1.2255
Epoch   8 | train L1 = 1.1409
              |  val L1 = 1.2060
Epoch   9 | train L1 = 1.1355
              |  val L1 = 1.2131
Epoch  10 | train L1 = 1.0870
              |  val L1 = 1.0995
Epoch  11 | train L1 = 1.0350
              |  val L1 = 1.0859
Epoch  12 | train L1 = 1.0944
              |  val L1 = 1.1257
Epoch  13 | train L1 = 1.0532
              |  val L1 = 1.1354
Epoch  14 | train L1 = 1.0533
              |  val L1 = 1.0898
Epoch  15 | train L1 = 1.0483
              |  val L1 = 1.0830
Epoch  16 | train L1 = 1.0345
              |  val L1 = 1.0801
Epoch  17 | train L1 = 1.0427
              |  val L1 = 1.0697
Epoch  18 | train L1 = 1.0704
              |  val L1 = 1.2152
Epoch  19 | train L1 = 1.1346
              |  val L1 = 1.2296
Epoch  20 | train L1 = 1.1303
              |  val L1 = 1.2094
Saved checkpoint_20250713_220845.pt (0.5 min) 0.49234134356180825
(jessi) bgn1003:~ $ python3 nhr.py
Traceback (most recent call last):
  File "/home/becjessi/nhr.py", line 407, in <module>
    preds = pred_head(preds.to(device))
  File "/home/becjessi/.conda/envs/jessi/lib/python3.10/site-packages/torch/nn/modules/module.py", line 1501, in _call_impl
    return forward_call(*args, **kwargs)
  File "/home/becjessi/.conda/envs/jessi/lib/python3.10/site-packages/torch/nn/modules/linear.py", line 114, in forward
    return F.linear(input, self.weight, self.bias)
RuntimeError: mat1 and mat2 shapes cannot be multiplied (176x1 and 10x1)
(jessi) bgn1003:~ $ python3 nhr.py
  File "/home/becjessi/nhr.py", line 326
    optimizer = torch.optim.AdamW(
                                 ^
SyntaxError: '(' was never closed
(jessi) bgn1003:~ $ python3 nhr.py
Epoch   0 | train L1 = 1.1917
              |  val L1 = 1.2121
Epoch   1 | train L1 = 1.0896
              |  val L1 = 1.1071
Epoch   2 | train L1 = 1.0581
              |  val L1 = 1.1008
Epoch   3 | train L1 = 1.0551
              |  val L1 = 1.1160
Epoch   4 | train L1 = 1.0570
              |  val L1 = 1.0918
Epoch   5 | train L1 = 1.0450
              |  val L1 = 1.0825
Epoch   6 | train L1 = 1.0389
              |  val L1 = 1.0780
Epoch   7 | train L1 = 1.0386
              |  val L1 = 1.0770
Epoch   8 | train L1 = 1.1426
              |  val L1 = 1.2197
Epoch   9 | train L1 = 1.1418
              |  val L1 = 1.2197
Epoch  10 | train L1 = 1.1401
              |  val L1 = 1.2190
Epoch  11 | train L1 = 1.1397
              |  val L1 = 1.2195
Epoch  12 | train L1 = 1.1408
              |  val L1 = 1.2193
Epoch  13 | train L1 = 1.1398
              |  val L1 = 1.2192
Epoch  14 | train L1 = 1.1392
              |  val L1 = 1.2196
Epoch  15 | train L1 = 1.1393
              |  val L1 = 1.2194
Epoch  16 | train L1 = 1.1391
              |  val L1 = 1.2189
Epoch  17 | train L1 = 1.1396
              |  val L1 = 1.2186
Epoch  18 | train L1 = 1.1385
              |  val L1 = 1.2187
Epoch  19 | train L1 = 1.1390
              |  val L1 = 1.2179
Epoch  20 | train L1 = 1.1380
              |  val L1 = 1.2180
Saved checkpoint_20250713_221333.pt (0.5 min) 0.5013455152511597
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_221604', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 2, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1355
              |  val L1 = 1.0008
Epoch   1 | train L1 = 0.8961
              |  val L1 = 0.8990
Epoch   2 | train L1 = 0.8308
              |  val L1 = 0.9237
Epoch   3 | train L1 = 0.8184
              |  val L1 = 0.8529
Epoch   4 | train L1 = 0.8009
              |  val L1 = 0.8199
Epoch   5 | train L1 = 0.7759
              |  val L1 = 0.8139
Epoch   6 | train L1 = 0.7651
              |  val L1 = 0.7978
Epoch   7 | train L1 = 0.7700
              |  val L1 = 0.7977
Epoch   8 | train L1 = 0.7610
              |  val L1 = 0.7841
Epoch   9 | train L1 = 0.7680
              |  val L1 = 0.7977
Epoch  10 | train L1 = 0.7472
              |  val L1 = 0.8165
Epoch  11 | train L1 = 0.7505
              |  val L1 = 0.7892
Epoch  12 | train L1 = 0.7367
              |  val L1 = 0.7735
Epoch  13 | train L1 = 0.7455
              |  val L1 = 0.8126
Epoch  14 | train L1 = 0.7414
              |  val L1 = 0.8058
Epoch  15 | train L1 = 0.7428
              |  val L1 = 0.7892
Epoch  16 | train L1 = 0.7401
              |  val L1 = 0.7948
Epoch  17 | train L1 = 0.7188
              |  val L1 = 0.7707
Epoch  18 | train L1 = 0.7180
              |  val L1 = 0.7692
Epoch  19 | train L1 = 0.7192
              |  val L1 = 0.8263
Epoch  20 | train L1 = 0.7171
              |  val L1 = 0.7611
Saved checkpoint_20250713_221710.pt (1.1 min) 1.1062089244524638
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_221838', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 2, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1260
              |  val L1 = 1.0288
Epoch   1 | train L1 = 0.9463
              |  val L1 = 0.9703
Epoch   2 | train L1 = 0.8705
              |  val L1 = 0.8907
Epoch   3 | train L1 = 0.8539
              |  val L1 = 0.8737
Epoch   4 | train L1 = 0.8349
              |  val L1 = 0.8563
Epoch   5 | train L1 = 0.8225
              |  val L1 = 0.8296
Epoch   6 | train L1 = 0.7934
              |  val L1 = 0.8332
Epoch   7 | train L1 = 0.7861
              |  val L1 = 0.8645
Epoch   8 | train L1 = 0.7656
              |  val L1 = 0.7844
Epoch   9 | train L1 = 0.7721
              |  val L1 = 0.8083
Epoch  10 | train L1 = 0.7680
              |  val L1 = 0.8650
Epoch  11 | train L1 = 0.7567
              |  val L1 = 0.7867
Epoch  12 | train L1 = 0.7412
              |  val L1 = 0.8394
Epoch  13 | train L1 = 0.7553
              |  val L1 = 0.8094
Epoch  14 | train L1 = 0.7380
              |  val L1 = 0.8107
Epoch  15 | train L1 = 0.7471
              |  val L1 = 0.8016
Epoch  16 | train L1 = 0.7386
              |  val L1 = 0.8043
Epoch  17 | train L1 = 0.7462
              |  val L1 = 0.7592
Epoch  18 | train L1 = 0.7333
              |  val L1 = 0.7654
Epoch  19 | train L1 = 0.7233
              |  val L1 = 0.8099
Epoch  20 | train L1 = 0.7218
              |  val L1 = 0.7724
Saved checkpoint_20250713_221943.pt (1.1 min) 1.0810330986976624
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_222039', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 2, 'basis': 64, 'num edge and global tokens': [250, 250], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1355
              |  val L1 = 1.0008
Epoch   1 | train L1 = 0.8961
              |  val L1 = 0.8990
Epoch   2 | train L1 = 0.8308
              |  val L1 = 0.9237
Epoch   3 | train L1 = 0.8184
              |  val L1 = 0.8529
Epoch   4 | train L1 = 0.8009
              |  val L1 = 0.8199
Epoch   5 | train L1 = 0.7759
              |  val L1 = 0.8139
Epoch   6 | train L1 = 0.7651
              |  val L1 = 0.7978
Epoch   7 | train L1 = 0.7700
              |  val L1 = 0.7977
Epoch   8 | train L1 = 0.7610
              |  val L1 = 0.7841
Epoch   9 | train L1 = 0.7680
              |  val L1 = 0.7977
Epoch  10 | train L1 = 0.7472
              |  val L1 = 0.8165
Epoch  11 | train L1 = 0.7505
              |  val L1 = 0.7892
Epoch  12 | train L1 = 0.7367
              |  val L1 = 0.7735
Epoch  13 | train L1 = 0.7455
              |  val L1 = 0.8126
Epoch  14 | train L1 = 0.7414
              |  val L1 = 0.8058
Epoch  15 | train L1 = 0.7428
              |  val L1 = 0.7892
Epoch  16 | train L1 = 0.7401
              |  val L1 = 0.7948
Epoch  17 | train L1 = 0.7188
              |  val L1 = 0.7707
Epoch  18 | train L1 = 0.7180
              |  val L1 = 0.7692
Epoch  19 | train L1 = 0.7192
              |  val L1 = 0.8263
Epoch  20 | train L1 = 0.7171
              |  val L1 = 0.7611
Saved checkpoint_20250713_222145.pt (1.1 min) 1.1159411152203877
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_222411', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 3, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1506
              |  val L1 = 1.0552
Epoch   1 | train L1 = 0.9639
              |  val L1 = 0.9255
Epoch   2 | train L1 = 0.8781
              |  val L1 = 0.9471
Epoch   3 | train L1 = 0.8524
              |  val L1 = 0.8572
Epoch   4 | train L1 = 0.8145
              |  val L1 = 0.8360
Epoch   5 | train L1 = 0.8252
              |  val L1 = 0.8621
Epoch   6 | train L1 = 0.7883
              |  val L1 = 0.8149
Epoch   7 | train L1 = 0.7723
              |  val L1 = 0.7879
Epoch   8 | train L1 = 0.7648
              |  val L1 = 0.8417
Epoch   9 | train L1 = 0.8226
              |  val L1 = 0.8198
Epoch  10 | train L1 = 0.7932
              |  val L1 = 0.8268
Epoch  11 | train L1 = 0.7663
              |  val L1 = 0.8492
Epoch  12 | train L1 = 0.7476
              |  val L1 = 0.7940
Epoch  13 | train L1 = 0.7307
              |  val L1 = 0.7757
Epoch  14 | train L1 = 0.7356
              |  val L1 = 0.7883
Epoch  15 | train L1 = 0.7303
              |  val L1 = 0.7981
Epoch  16 | train L1 = 0.7429
              |  val L1 = 0.8046
Epoch  17 | train L1 = 0.7332
              |  val L1 = 0.7711
Epoch  18 | train L1 = 0.7138
              |  val L1 = 0.7704
Epoch  19 | train L1 = 0.7174
              |  val L1 = 0.7714
Epoch  20 | train L1 = 0.7203
              |  val L1 = 0.7555
Saved checkpoint_20250713_222523.pt (1.2 min) 1.2053495963414511
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_222605', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 6, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1417
              |  val L1 = 1.2189
Epoch   1 | train L1 = 1.1417
              |  val L1 = 1.2186
Epoch   2 | train L1 = 1.1411
              |  val L1 = 1.2185
Epoch   3 | train L1 = 1.1412
              |  val L1 = 1.2185
Epoch   4 | train L1 = 1.1412
              |  val L1 = 1.2186
Epoch   5 | train L1 = 1.1413
              |  val L1 = 1.2185
Epoch   6 | train L1 = 1.1413
              |  val L1 = 1.2186
Epoch   7 | train L1 = 1.1411
              |  val L1 = 1.2190
Epoch   8 | train L1 = 1.1417
              |  val L1 = 1.2185
Epoch   9 | train L1 = 1.1421
              |  val L1 = 1.2194
Epoch  10 | train L1 = 1.1422
              |  val L1 = 1.2188
Epoch  11 | train L1 = nan
              |  val L1 = nan
Epoch  12 | train L1 = nan
              |  val L1 = nan
Epoch  13 | train L1 = nan
              |  val L1 = nan
Epoch  14 | train L1 = nan
              |  val L1 = nan
^CTraceback (most recent call last):
  File "/home/becjessi/nhr.py", line 414, in <module>
    scaler.scale(loss).backward()

The only thing i did was change my depth from 3 to 6. this is the first nan i got on this newest architecture and inputs

(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_222857', 'num_nbrs': 150, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 21, 'dim': 10, 'depth': 3, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1936
              |  val L1 = 1.2552
Epoch   1 | train L1 = 1.0751
              |  val L1 = 1.0886
Epoch   2 | train L1 = 0.9604
              |  val L1 = 0.9296
Epoch   3 | train L1 = 0.9028
              |  val L1 = 0.9422
Epoch   4 | train L1 = 0.8956
              |  val L1 = 0.9517
Epoch   5 | train L1 = 0.8761
              |  val L1 = 0.9394
Epoch   6 | train L1 = 0.8757
              |  val L1 = 0.8950
Epoch   7 | train L1 = 0.8542
              |  val L1 = 0.8926
Epoch   8 | train L1 = 0.8452
              |  val L1 = 0.9077
Epoch   9 | train L1 = 0.8685
              |  val L1 = 0.8923
Epoch  10 | train L1 = 0.8366
              |  val L1 = 0.8804
Epoch  11 | train L1 = 0.8322
              |  val L1 = 0.8917
Epoch  12 | train L1 = 0.8729
              |  val L1 = 0.8714
Epoch  13 | train L1 = 0.8220
              |  val L1 = 0.8462
Epoch  14 | train L1 = 0.8068
              |  val L1 = 0.8193
Epoch  15 | train L1 = 0.7962
              |  val L1 = 0.8465
Epoch  16 | train L1 = 0.7992
              |  val L1 = 0.8466
Epoch  17 | train L1 = 0.7967
              |  val L1 = 0.8347
Epoch  18 | train L1 = 0.7931
              |  val L1 = 0.8197
Epoch  19 | train L1 = 0.7923
              |  val L1 = 0.8316
Epoch  20 | train L1 = 0.7863
              |  val L1 = 0.8238
Saved checkpoint_20250713_223011.pt (1.2 min) 1.2301524957021077
(jessi) bgn1003:~ $ python3 nhr.py
{'runid': '20250713_223552', 'num_nbrs': 100, 'learning_rate': [0.005], 'dataset': ('inputs_test/*.npz', 140), 'epochs': 50, 'dim': 10, 'depth': 3, 'basis': 64, 'num edge and global tokens': [10, 10], 'dropout': [0.02, 0.03], 'rbf cutoff': 20.0, 'loss': L1Loss()}
Epoch   0 | train L1 = 1.1062
              |  val L1 = 1.0150
Epoch   1 | train L1 = 0.9389
              |  val L1 = 0.8964
Epoch   2 | train L1 = 0.8510
              |  val L1 = 0.8660
Epoch   3 | train L1 = 0.8188
              |  val L1 = 0.8432
Epoch   4 | train L1 = 0.7959
              |  val L1 = 0.8201
Epoch   5 | train L1 = 0.7838
              |  val L1 = 0.7839
Epoch   6 | train L1 = 0.7641
              |  val L1 = 0.8244
Epoch   7 | train L1 = 0.7707
              |  val L1 = 0.7830
Epoch   8 | train L1 = 0.7347
              |  val L1 = 0.7833
Epoch   9 | train L1 = 0.7328
              |  val L1 = 0.7642
Epoch  10 | train L1 = 0.7372
              |  val L1 = 0.7672
Epoch  11 | train L1 = 0.7388
              |  val L1 = 0.7961
Epoch  12 | train L1 = 0.7309
              |  val L1 = 0.7697
Epoch  13 | train L1 = 0.7233
              |  val L1 = 0.7695
Epoch  14 | train L1 = 0.7151
              |  val L1 = 0.7533
Epoch  15 | train L1 = 0.7154
              |  val L1 = 0.7499
Epoch  16 | train L1 = 0.7645
              |  val L1 = 0.8420
Epoch  17 | train L1 = 0.8104
              |  val L1 = 0.8075
Epoch  18 | train L1 = 0.7630
              |  val L1 = 0.8138
Epoch  19 | train L1 = 0.7727
              |  val L1 = 0.8022
Epoch  20 | train L1 = 0.7497
              |  val L1 = 0.8218
Epoch  21 | train L1 = 0.7493
              |  val L1 = 0.8081
Epoch  22 | train L1 = 0.7250
              |  val L1 = 0.7836
Epoch  23 | train L1 = 0.7160
              |  val L1 = 0.7770
Epoch  24 | train L1 = 0.7101
              |  val L1 = 0.7920
Epoch  25 | train L1 = 0.7218
              |  val L1 = 0.7581
Epoch  26 | train L1 = 0.7058
              |  val L1 = 0.7432
Epoch  27 | train L1 = 0.6974
              |  val L1 = 0.7750
Epoch  28 | train L1 = 0.6842
              |  val L1 = 0.7364
Epoch  29 | train L1 = 0.6809
              |  val L1 = 0.7571
Epoch  30 | train L1 = 0.6836
              |  val L1 = 0.7600
Epoch  31 | train L1 = 0.6795
              |  val L1 = 0.7838
Epoch  32 | train L1 = 0.6741
              |  val L1 = 0.7392
Epoch  33 | train L1 = 0.6767
              |  val L1 = 0.7484
Epoch  34 | train L1 = 0.6698
              |  val L1 = 0.7903
Epoch  35 | train L1 = 0.6733
              |  val L1 = 0.7333
Epoch  36 | train L1 = 0.6663
              |  val L1 = 0.7385
Epoch  37 | train L1 = 0.6445
              |  val L1 = 0.7554
Epoch  38 | train L1 = 0.6571
              |  val L1 = 0.7324
Epoch  39 | train L1 = 0.6472
              |  val L1 = 0.7517
Epoch  40 | train L1 = 0.6581
              |  val L1 = 0.7853
Epoch  41 | train L1 = 0.6634
              |  val L1 = 0.7563
Epoch  42 | train L1 = 0.6466
              |  val L1 = 0.7543
Epoch  43 | train L1 = 0.6421
              |  val L1 = 0.7367
Epoch  44 | train L1 = 0.6367
              |  val L1 = 0.7233
Epoch  45 | train L1 = 0.6423
              |  val L1 = 0.7268
Epoch  46 | train L1 = 0.6437
              |  val L1 = 0.7269
Epoch  47 | train L1 = 0.6342
              |  val L1 = 0.7370
Epoch  48 | train L1 = 0.6337
              |  val L1 = 0.7527
Epoch  49 | train L1 = 0.6339
              |  val L1 = 0.7285
Saved checkpoint_20250713_223752.pt (2.0 min) 2.0032116651535032
